code,name,description,resource,method,status,need_policy,version
auth:permission:create,创建权限,允许创建权限,xservergo.auth,CreatePermission,1,1,1
auth:permission:update,更新权限,允许更新权限,xservergo.auth,UpdatePermission,1,1,1
auth:permission:delete,删除权限,允许删除权限,xservergo.auth,DeletePermission,1,1,1
auth:permission:get,查询权限,允许查询权限详情,xservergo.auth,GetPermission,1,1,1
auth:role:create,创建角色,允许创建角色,xservergo.auth,CreateRole,1,1,1
auth:role:update,更新角色,允许更新角色,xservergo.auth,UpdateRole,1,1,1
auth:role:delete,删除角色,允许删除角色,xservergo.auth,DeleteRole,1,1,1
auth:role:get,查询角色,允许查询角色详情,xservergo.auth,GetRole,1,1,1
auth:role:grant_permission,给角色分配权限,允许给角色分配权限,xservergo.auth,GrantPermissionToRole,1,1,1
auth:role:revoke_permission,从角色移除权限,允许从角色移除权限,xservergo.auth,RevokePermissionFromRole,1,1,1
auth:role:get_permissions,查询角色权限,允许查询角色的所有权限,xservergo.auth,GetRolePermissions,1,1,1
auth:user:assign_role,给用户分配角色,允许给用户分配角色,xservergo.auth,AssignRoleToUser,1,1,1
auth:user:remove_role,移除用户角色,允许移除用户的角色,xservergo.auth,RemoveRoleFromUser,1,1,1
auth:user:get_roles,查询用户角色,允许查询用户所有角色,xservergo.auth,GetUserRoles,1,1,1
auth:user_group:create,创建用户组,允许创建用户组,xservergo.auth,CreateUserGroup,1,1,1
auth:user_group:update,更新用户组,允许更新用户组,xservergo.auth,UpdateUserGroup,1,1,1
auth:user_group:delete,删除用户组,允许删除用户组,xservergo.auth,DeleteUserGroup,1,1,1
auth:user_group:get,查询用户组,允许查询用户组详情,xservergo.auth,GetUserGroup,1,1,1
auth:user_group:members:get,查询用户组成员,允许查询用户组成员列表,xservergo.auth,GetUserGroupMembers,1,1,1
auth:user_group:roles:get,查询用户组角色,允许查询用户组关联的角色,xservergo.auth,GetUserGroupRoles,1,1,1
auth:user_group:assign_role,给用户组分配角色,允许给用户组分配角色,xservergo.auth,AssignRoleToUserGroup,1,1,1
auth:user_group:remove_role,移除用户组的角色,允许移除用户组的角色,xservergo.auth,RemoveRoleFromUserGroup,1,1,1
auth:user_group:permissions:get,查询用户组权限,允许查询用户组的权限列表,xservergo.auth,GetUserGroupPermissions,1,1,1
auth:user:assign_group,给用户分配用户组,允许把用户加入用户组,xservergo.auth,AssignUserToGroup,1,1,1
auth:user:remove_group,从用户移除用户组,允许从用户移除用户组,xservergo.auth,RemoveUserFromGroup,1,1,1
auth:user:groups:get,查询用户用户组,允许查询用户所属的用户组列表,xservergo.auth,GetUserGroups,1,1,1
auth:user:permissions:get,查询用户权限,允许查询用户所有权限（含角色/用户组权限）,xservergo.auth,GetUserPermissions,1,1,1
auth:user:has_permission,判断用户是否有权限,允许判断用户是否拥有某个权限,xservergo.auth,HasPermission,1,1,1
auth:user:can_access,判断用户能否访问,允许判断用户是否可对某资源执行操作,xservergo.auth,CanAccess,1,1,1
auth:roles:list,查询角色列表,允许查询所有角色,xservergo.auth,ListRoles,1,1,1
auth:user_groups:list,查询用户组列表,允许查询所有用户组,xservergo.auth,ListUserGroups,1,1,1
auth:permissions:list,查询权限列表,允许查询所有权限,xservergo.auth,ListPermissions,1,1,1
auth:token:issue,签发令牌,允许分发 token,xservergo.auth,IssueToken,1,1,1
auth:token:refresh,刷新令牌,允许刷新 token,xservergo.auth,RefreshToken,1,1,1
auth:token:verify,验证令牌,允许验证并解析 token,xservergo.auth,VerifyToken,1,1,1
auth:policy:create,创建策略,允许创建策略,xservergo.auth,CreatePolicy,1,1,1
auth:policy:update,更新策略,允许更新策略,xservergo.auth,UpdatePolicy,1,1,1
auth:policy:delete,删除策略,允许删除策略,xservergo.auth,DeletePolicy,1,1,1
auth:policy:get,查询策略,允许查询策略详情,xservergo.auth,GetPolicy,1,1,1
auth:policies:list,查询策略列表,允许查询所有策略,xservergo.auth,ListPolicies,1,1,1
auth:policy_rule:create,创建策略规则,允许创建策略规则,xservergo.auth,CreatePolicyRule,1,1,1
auth:policy_rule:update,更新策略规则,允许更新策略规则,xservergo.auth,UpdatePolicyRule,1,1,1
auth:policy_rule:delete,删除策略规则,允许删除策略规则,xservergo.auth,DeletePolicyRule,1,1,1
auth:policy_rule:get,查询策略规则,允许查询策略规则详情,xservergo.auth,GetPolicyRule,1,1,1
auth:policy_rules:list,查询策略规则列表,允许查询策略所有规则,xservergo.auth,ListPolicyRules,1,1,1
auth:permission:policies:get,查询权限的策略,允许查询权限关联的所有策略,xservergo.auth,GetPermissionPolicies,1,1,1
auth:permission:attach_policy,给权限分配策略,允许给权限分配策略,xservergo.auth,AttachPolicyToPermission,1,1,1
auth:permission:detach_policy,从权限移除策略,允许从权限移除策略,xservergo.auth,DetachPolicyFromPermission,1,1,1
